Keyword,Lat,Lon,Timestamp
common cold,51.87965012,-0.417558014,12/2/2011 11:00
common cold,55.61562347,-4.664875507,12/2/2011 11:00
common cold,52.92189789,-1.475641966,12/2/2011 11:00
common cold,56.26391983,9.501785278,12/2/2011 11:00
common cold,50.64685059,5.580543518,12/2/2011 11:00
common cold,52.05599213,-2.717546701,12/2/2011 11:00
common cold,52.01902771,-0.770427406,12/2/2011 11:00
common cold,51.68038559,7.817429066,12/2/2011 11:50
common cold,51.50015259,-0.1262362,12/2/2011 11:50
common cold,55.37805176,-3.435972929,12/2/2011 11:50
common cold,51.50015259,-0.1262362,12/2/2011 12:00
common cold,51.50015259,-0.1262362,12/2/2011 12:00
common cold,52.01902771,-0.770427406,12/2/2011 12:00
common cold,53.48071289,-2.234376431,12/2/2011 12:00
common cold,51.48130798,-3.180497885,12/2/2011 12:00
common cold,53.48770523,-2.290419817,12/2/2011 12:00
common cold,53.68296432,-1.49909699,12/2/2011 12:00
common cold,52.63476944,-1.129519105,12/2/2011 12:50
common cold,53.33547211,-2.728894949,12/2/2011 12:50
common cold,51.50015259,-0.1262362,12/2/2011 12:50
common cold,56.49067307,-4.202645779,12/2/2011 13:00
common cold,51.50015259,-0.1262362,12/2/2011 13:00
common cold,53.40182877,-2.928159952,12/2/2011 13:20
common cold,52.38605881,-2.24689579,12/2/2011 13:50
common cold,51.76590729,0.667366505,12/2/2011 13:50
common cold,53.34410477,-6.267493725,12/2/2011 13:50
common cold,52.95511627,-1.149171829,12/2/2011 13:50
common cold,51.50015259,-0.1262362,12/2/2011 13:50
common cold,52.63476944,-1.129519105,12/2/2011 13:50
common cold,51.81267929,0.74894309,12/2/2011 13:50
common cold,53.64515686,-1.784927487,12/2/2011 13:50
common cold,53.55293274,-1.481272221,12/2/2011 14:00
common cold,51.65485382,-0.398203105,12/2/2011 14:00
common cold,51.50015259,-0.1262362,12/2/2011 14:00
common cold,52.13263321,5.291265965,12/2/2011 14:00
common cold,51.80978394,-0.2376744,12/2/2011 14:00
common cold,51.51496887,-0.115923002,12/2/2011 14:50
common cold,50.79891205,-1.091162682,12/2/2011 15:00
common cold,53.79964066,-1.549122095,12/2/2011 15:00
common cold,51.50015259,-0.1262362,12/2/2011 15:00
common cold,53.41291046,-8.243889809,12/2/2011 15:00
common cold,53.48071289,-2.234376431,12/2/2011 15:00
common cold,53.81416321,-3.053513527,12/2/2011 15:00
common cold,53.41077805,-2.977838278,12/2/2011 15:00
